NA,Make,Model,Variant,Ex-Showroom_Price,Displacement,Cylinders,Valves_Per_Cylinder,Drivetrain,Cylinder_Configuration,Emission_Norm,Engine_Location,Fuel_System,Fuel_Tank_Capacity,Fuel_Type,Height,Length,Width,Body_Type,Doors,City_Mileage,Highway_Mileage,ARAI_Certified_Mileage,ARAI_Certified_Mileage_for_CNG,Kerb_Weight,Gears,Ground_Clearance,Front_Brakes,Rear_Brakes,Front_Suspension,Rear_Suspension,Front_Track,Rear_Track,Front_Tyre_&_Rim,Rear_Tyre_&_Rim,Power_Steering,Power_Windows,Power_Seats,Keyless_Entry,Power,Torque,Odometer,Speedometer,Tachometer,Tripmeter,Seating_Capacity,Seats_Material,Type,Wheelbase,Wheels_Size,Start_/_Stop_Button,12v_Power_Outlet,Audiosystem,Aux-in_Compatibility,Average_Fuel_Consumption,Basic_Warranty,Bluetooth,Boot-lid_Opener,Boot_Space,CD_/_MP3_/_DVD_Player,Central_Locking,Child_Safety_Locks,Clock,Cup_Holders,Distance_to_Empty,Door_Pockets,Engine_Malfunction_Light,Extended_Warranty,FM_Radio,Fuel-lid_Opener,Fuel_Gauge,Handbrake,Instrument_Console,Low_Fuel_Warning,Minimum_Turning_Radius,Multifunction_Display,Sun_Visor,Third_Row_AC_Vents,Ventilation_System,Auto-Dimming_Rear-View_Mirror,Hill_Assist,Gear_Indicator,3_Point_Seat-Belt_in_Middle_Rear_Seat,Ambient_Lightning,Cargo/Boot_Lights,Drive_Modes,Engine_Immobilizer,High_Speed_Alert_System,Lane_Watch_Camera/_Side_Mirror_Camera,Passenger_Side_Seat-Belt_Reminder,Seat_Back_Pockets,Voice_Recognition,Walk_Away_Auto_Car_Lock,ABS_(Anti-lock_Braking_System),Headlight_Reminder,Adjustable_Headrests,Gross_Vehicle_Weight,Airbags,Door_Ajar_Warning,EBD_(Electronic_Brake-force_Distribution),Fasten_Seat_Belt_Warning,Gear_Shift_Reminder,Number_of_Airbags,Compression_Ratio,Adjustable_Steering_Column,Other_Specs,Other_specs.1,Parking_Assistance,Key_Off_Reminder,USB_Compatibility,Android_Auto,Cigarette_Lighter,Infotainment_Screen,Multifunction_Steering_Wheel,Average_Speed,EBA_(Electronic_Brake_Assist),Seat_Height_Adjustment,Navigation_System,Second_Row_AC_Vents,Tyre_Pressure_Monitoring_System,Rear_Center_Armrest,iPod_Compatibility,ESP_(Electronic_Stability_Program),Cooled_Glove_Box,Recommended_Tyre_Pressure,Heated_Seats,Turbocharger,ISOFIX_(Child-Seat_Mount),Rain_Sensing_Wipers,Paddle_Shifters,Leather_Wrapped_Steering,Automatic_Headlamps,Engine_Type,ASR_/_Traction_Control,Cruise_Control,USB_Ports,Heads-Up_Display,Welcome_Lights,Battery,Electric_Range
1026,NA,Mercedes-Benz A-Class,200D,2886871.00,2143 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Transverse",Injection,50 litres,Diesel,1433 mm,4292 mm,2022 mm,Hatchback,5,12.03,15.50,15.5 km/litre,NA,1515 kg,7,160 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,Torsion Beam,1553 mm,1552 mm,205/55R16,205/55R16,Electric Power,All Windows,Yes,Smart Key,136PS@4400RPM,300Nm@1600-3000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,205/55R16,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,"Internal, With Remote",341 litres,Yes,Yes,NA,Digital,Front,Yes,Front,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,5.5 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,2000 kg,"Drive side airbag, Front passenger curtain airbag, Driver curtain airbag, Driver frontal airbag, Rear passenger curtain airbags, Front passenger frontal airbag, Front passenger side airbag",Yes,Yes,Yes,Yes,8,NA,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,NA,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,NA,NA,Yes,Cup Holders,Yes,Yes,NA,NA,Only front,NA,NA,NA,NA,Yes,NA,NA,Yes,Yes,NA,NA,NA,NA,NA
1028,Volvo,V40 Cross Country,T4,2962000.00,1596 cc,4,4,FWD (Front Wheel Drive),In-line,BS IV,"Front, Longitudinal",Injection,50 litres,Petrol,1470 mm,4370 mm,1857 mm,Hatchback,5,12.00,16.00,16 km/litre,NA,1587 kg,6,132 mm,Ventilated Disc,Ventilated Disc,"MacPherson Strut, Coil Spring",Independent suspension with McPherson Struts,1552 mm,1540 mm,115/90R16,115/90R16,Electric Power,All Windows,Yes,Smart Key,180PS@5700rpm,240Nm@1600-500rpm,Digital,Digital,Analog,Yes,5,Leather,Automatic,2646 mm,115/90R16,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,Manual,324 litres,Yes,Yes,Yes,Digital,Yes,Yes,NA,Yes,NA,Yes,Internal,Digital,Manual,Digital,Yes,5.45 meter,Yes,Driver Only,Not Applicable,2 Zone Climate Control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,1461kg kg,"Front passenger frontal airbag, Rear passenger side airbags, Driver knee airbag, Curtain airbags, Driver frontal airbag",Yes,Yes,Yes,NA,7,NA,"Rake, Reach",NA,NA,Yes,Yes,Yes,NA,NA,Yes,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,NA,NA,NA,Yes,NA,Yes,NA,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA
1136,Tata,Harrier,Revotorq Xe,1345363.00,1956 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1706 mm,4598 mm,1894 mm,SUV,5,0.00,0.00,16.7 km/litre,NA,NA,6,205 mm,Ventilated Disc,Drum,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,NA,NA,235/70 R16,235/70 R16,Hydraulic Power,All Windows,NA,NA,140PS@3750rpm,350Nm@1750-2500rpm,NA,Analog,Analog,Yes,5,Fabric,Manual,2741 mm,235/70 R16,NA,Yes,Not on offer,NA,Yes,"2 Years / 75,000 KM (whichever is earlier)",NA,"Internal, With Remote",425 litres,NA,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",NA,"With Remote, Internal",Analog,Manual,Analog,Yes,NA,Yes,Driver & Front Passenger,NA,Manual Air conditioning with cooling and heating,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,NA,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,NA,Yes,2,16.5:1,Rake,NA,NA,Rear sensors,Yes,NA,NA,Yes,NA,NA,Yes,NA,Manual Adjustment,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1137,Tata,Harrier,Revotorq Xm,1471368.00,1956 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1706 mm,4598 mm,1894 mm,SUV,5,0.00,0.00,16.7 km/litre,NA,NA,6,205 mm,Ventilated Disc,Drum,"Independent Lower Wishbone, McPherson Strut with coil Spring",Semi-Independent; Twist beam with dual path strut,NA,NA,235/70 R16,235/70 R16,Hydraulic Power,All Windows,NA,Remote,140PS@3750rpm,350Nm@1750-2500rpm,Yes,Analog,Analog,2,5,Fabric,Manual,2741 mm,235/70 R16,NA,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",425 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"With Remote, Internal",Analog,Manual,Analog,Yes,NA,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,NA,"Front passenger frontal airbag, Driver frontal airbag",NA,Yes,Yes,Yes,2,NA,Rake,NA,NA,Rear sensors,Yes,Yes,NA,NA,Touch Sensitive,NA,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1138,Tata,Harrier,Revotorq Xt,1591368.00,1956 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1706 mm,4598 mm,1894 mm,Hatchback,5,0.00,0.00,16.7 km/litre,NA,1080 kg,6,205 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,NA,NA,235/65 R17,235/65 R17,Electric Power,All Windows,NA,Remote,140PS@3750rpm,350Nm@1750-2500rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2741 mm,235/65 R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"Internal, With Remote",425 litres,Yes,Yes,Yes,Digital,Front,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,NA,Fully automatic climate control,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,All Rows,NA,"Driver frontal airbag, Front passenger frontal airbag",NA,Yes,Yes,Yes,2,NA,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,NA,Electric Adjustment,Yes,NA,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1139,Tata,Harrier,Revotorq Xz,1721368.00,1956 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1706 mm,4598 mm,1894 mm,Hatchback,5,0.00,0.00,16.7 km/litre,NA,NA,6,205 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,NA,NA,235/65 R17,235/65 R17,Electric Power,All Windows,NA,Remote,140PS@3750rpm,350Nm@1750-2500rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2741 mm,235/65 R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,NA,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA
1140,Tata,Harrier,Revotorq Xz Dual Tone,1732231.00,1956 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1706 mm,4598 mm,1894 mm,Hatchback,5,0.00,0.00,16.7 km/litre,NA,NA,6,205 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,NA,NA,235/65 R17,235/65 R17,Electric Power,All Windows,NA,Remote,140PS@3750rpm,350Nm@1750-2500rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2741 mm,235/65 R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,NA,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA
1141,Tata,Harrier,Revotorq Dark Edition,1730755.00,1956 cc,3,4,FWD (Front Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1706 mm,4598 mm,1894 mm,Hatchback,5,0.00,0.00,16.7 km/litre,NA,NA,6,205 mm,Ventilated Disc,Drum,"Independent, Lower Wishbone, Mcpherson Strut with coil spring",Semi-Independent; Twist beam with dual path strut,NA,NA,235/65 R17,235/65 R17,Electric Power,All Windows,NA,Remote,140PS@3750rpm,350Nm@1750-2500rpm,Digital,Analog,Analog,2,5,Fabric,Manual,2741 mm,235/65 R17,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,"2 Years / 75,000 KM (whichever is earlier)",Yes,"With Remote, Internal",425 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,"2 years + 1 year (3rd year extended warranty up to 75,000km) or 2 years + 2 years (3rd and 4th year extended warranty up to 1,00,000 kms).",Yes,"Internal, With Remote",Analog,Manual,Analog + Digital,Yes,NA,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,Yes,2,NA,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,Yes,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA
1146,NA,Mercedes-Benz Gla-Class,200 Sport,3438000.00,1991 cc,4,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,50 litres,Petrol,1494 mm,4424 mm,1804 mm,SUV,5,10.00,13.80,13.8 km/litre,NA,1525 kg,7,183 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,MacPherson strut,1569 mm,1560 mm,235/50R18,235/50R18,Electric Power,All Windows,Power seats,Smart Key,183PS@5500rpm,300Nm@1200-1400rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,235/50R18,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,421 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.84 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,1940 kg,"Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags, Drive side airbag",Yes,Yes,Yes,Yes,6,NA,"Rake, Reach",NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
1149,NA,Mercedes-Benz Gla-Class,45 Amg 4Matic,7784944.00,1991 cc,4,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,50 litres,Petrol,1479 mm,4445 mm,1804 mm,SUV,5,10.20,13.80,13.8 km/litre,NA,1720 kg,7,183 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,MacPherson strut,1569 mm,1560 mm,235/45R19,235/45R19,Electric Power,All Windows,Power seats,Smart Key,360PS@6000rpm,450Nm@2250-5000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,235/45R19,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,421 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.84 meter,Yes,Driver & Front Passenger,NA,Fully automatic climate control,NA,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,2105 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",Yes,Yes,Yes,Yes,6,8.6:1,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,Only front,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
1151,NA,Mercedes-Benz Gla-Class,45 Aero Edition,8067000.00,1991 cc,4,4,4WD,In-line,BS IV,"Front, Longitudinal",Injection,50 litres,Petrol,1479 mm,4445 mm,1804 mm,SUV,5,10.20,13.80,13.8 km/litre,NA,1720 kg,7,183 mm,Ventilated Disc,Ventilated Disc,MacPherson Strut,MacPherson strut,1569 mm,1560 mm,235/45R19,235/45R19,Electric Power,All Windows,Power seats,Smart Key,375PS@6000rpm,475Nm@2250-5000rpm,Digital,Analog,Analog,Yes,5,Leather,Automatic,2699 mm,235/45R19,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,3 years / Unlimited Kms,Yes,Internal,421 litres,Yes,Yes,Yes,Digital,Front & Rear,Yes,Front & Rear,Yes,4th year /with (absolutely no mileage restriction),Yes,Internal,Analog,Automatic,Analog + Digital,Yes,11.84 meter,Yes,Driver & Front Passenger,NA,Fully automatic climate control,Yes,Yes,Yes,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,2105 kg,"Drive side airbag, Driver frontal airbag, Front passenger frontal airbag, Front passenger side airbag, Curtain airbags",Yes,Yes,Yes,Yes,6,8.6:1,"Rake, Reach",NA,NA,Rear sensors with camera,Yes,Yes,NA,Yes,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment with Memory,Yes,Yes,Yes,Cup Holders,Yes,Yes,Yes,NA,Only front,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,NA,NA,NA,NA
1196,Nissan,Kicks,Xl Petrol,955000.00,1498 cc,4,NA,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Petrol,1651 mm,4384 mm,1813 mm,SUV,5,0.00,0.00,14.23 km/litre,NA,NA,6,210 mm,NA,NA,NA,NA,NA,NA,NA,NA,Yes,All Windows,NA,Remote,106PS@5600rpm,142Nm@4000rpm,Yes,Yes,Yes,Yes,5,NA,Manual,2673 mm,NA,NA,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,"Manual, Internal",400 litres,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,"Internal, Manual",Yes,NA,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA,Yes,Yes,Yes,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,NA,2,NA,Rake,NA,NA,Rear sensors,Yes,Yes,NA,NA,Yes,NA,NA,Yes,Electric Adjustment,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1197,Nissan,Kicks,Xv Petrol,1095000.00,1498 cc,4,NA,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Petrol,1651 mm,4384 mm,1813 mm,SUV,5,0.00,0.00,14.23 km/litre,NA,NA,6,210 mm,NA,NA,NA,NA,NA,NA,NA,NA,Yes,All Windows,NA,Remote,106PS@5600rpm,142Nm@4000rpm,Yes,Yes,Yes,Yes,5,Fabric,Manual,2673 mm,NA,NA,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,"Manual, Internal",400 litres,Yes,Yes,Yes,Yes,Yes,NA,Yes,Yes,NA,Yes,"Internal, Manual",Yes,NA,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Yes,NA,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,NA,2,NA,Rake,NA,NA,Rear sensors with camera,Yes,Yes,NA,NA,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,NA,Yes,NA,Yes,Yes,Yes,Yes,NA,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
1198,Nissan,Kicks,Xl Diesel,1109000.00,1461 cc,4,NA,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1651 mm,4384 mm,1813 mm,SUV,5,0.00,0.00,20.45 km/litre,NA,NA,6,210 mm,NA,NA,NA,NA,NA,NA,NA,NA,Yes,All Windows,NA,Remote,110PS@3850rpm,240Nm@1750rpm,Yes,Yes,Yes,Yes,5,Fabric,Manual,2673 mm,NA,NA,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,Manual,400 litres,Yes,Yes,Yes,Analog,Yes,Yes,Yes,Yes,NA,Yes,Internal,Yes,NA,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,Yes,All Rows,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,NA,2,NA,Rake,NA,NA,Rear sensors,Yes,Yes,Yes,NA,Yes,NA,NA,Yes,Electric Adjustment,NA,Yes,NA,NA,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1199,Nissan,Kicks,Xv Diesel,1251000.00,1461 cc,4,NA,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1651 mm,4384 mm,1813 mm,SUV,5,0.00,0.00,20.45 km/litre,NA,NA,6,210 mm,NA,NA,NA,NA,NA,NA,NA,NA,Yes,All Windows,NA,Remote,110PS@3850rpm,240Nm@1750rpm,Yes,Yes,Yes,Yes,5,Fabric,Manual,2673 mm,NA,NA,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,"Manual, Internal",400 litres,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,"Internal, Manual",Yes,NA,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Air Conditioning with cooling only,Yes,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,Front Row,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,NA,2,NA,Rake,NA,NA,Rear sensors with camera,Yes,Yes,NA,NA,Touch Sensitive,Yes,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,Yes,NA,Yes,NA,NA,NA,NA,NA,NA
1200,Nissan,Kicks,Xv Premium,1369000.00,1461 cc,4,NA,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1651 mm,4384 mm,1813 mm,SUV,5,0.00,0.00,20.45 km/litre,NA,NA,6,210 mm,NA,NA,NA,NA,NA,NA,NA,NA,Yes,All Windows,NA,Smart Key,110PS@3850rpm,240Nm@1750rpm,Yes,Yes,Yes,Yes,5,Fabric,Manual,2673 mm,NA,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,"Manual, Internal",400 litres,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,"Internal, Manual",Yes,NA,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,Not Applicable,Fully automatic climate control,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,All Rows,NA,"Driver frontal airbag, Front passenger frontal airbag",Yes,Yes,Yes,NA,2,NA,Yes,NA,NA,Rear sensors with camera,Yes,Yes,NA,NA,Touch Sensitive,NA,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
1201,Nissan,Kicks,Xv Premium (O),1465000.00,1461 cc,4,NA,RWD (Rear Wheel Drive),In-line,BS 6,"Front, Transverse",Injection,50 litres,Diesel,1651 mm,4384 mm,1813 mm,SUV,5,0.00,0.00,20.45 km/litre,NA,NA,6,210 mm,NA,NA,NA,NA,NA,NA,NA,NA,Yes,All Windows,NA,Smart Key,110PS@3850rpm,240Nm@1750rpm,Yes,Yes,Yes,Yes,5,Fabric,Manual,2673 mm,NA,Yes,Yes,CD Player with USB & Aux-in,Yes,Yes,NA,Yes,"Manual, Internal",400 litres,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,NA,Yes,"Internal, Manual",Yes,NA,Analog + Digital,Yes,5.2 meter,Yes,Driver & Front Passenger,NA,Fully automatic climate control,Yes,Yes,NA,NA,NA,NA,NA,Yes,NA,NA,NA,Yes,NA,NA,Yes,NA,All Rows,NA,"Front passenger frontal airbag, Driver frontal airbag",Yes,Yes,Yes,NA,2,NA,Rake,NA,NA,Front & rear sensors with 360 degree view,Yes,Yes,NA,NA,Touch Sensitive,Multifunction Steering Wheel,Yes,Yes,Electric Adjustment,Yes,Yes,NA,Yes,Yes,Yes,Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,NA,NA,NA,NA,NA,NA
